time,alpha,beta,gamma,delta
10.750,0.6616,-0.5887,0.1234,0.0932
10.760,0.6565,-0.5193,0.1182,0.1149
10.770,0.6403,-0.4887,0.1496,0.1245
10.780,0.5952,-0.4091,0.1454,0.1479
10.790,0.5398,-0.3525,0.1565,0.1699
10.800,0.5230,-0.2013,0.2027,0.2075
10.810,0.5213,-0.1335,0.2018,0.1932
10.820,0.3998,-0.0463,0.1877,0.2335
10.830,0.3638,0.0369,0.2106,0.2594
10.840,0.3498,0.0606,0.2080,0.2879
10.850,0.3040,0.1122,0.2271,0.3626
10.860,0.2574,0.1276,0.2237,0.3917
10.870,0.2529,0.1552,0.2846,0.4253
10.880,0.2280,0.1091,0.2501,0.4663
10.890,0.2261,0.0757,0.2534,0.5063
10.900,0.1370,0.0738,0.2583,0.5475
10.910,0.1095,0.0495,0.2399,0.5753
10.920,0.1161,0.0367,0.2426,0.6308
10.930,0.0759,0.0147,0.2573,0.6853
10.940,0.0901,-0.0252,0.2447,0.6662
10.950,0.0426,-0.0234,0.2124,0.7280
10.960,0.0386,0.0657,0.2211,0.7090
10.970,0.0178,0.1340,0.2327,0.7520
10.980,0.0370,0.1848,0.2254,0.7706
10.990,0.0026,0.2904,0.2091,0.7568
11.000,0.0136,0.3647,0.1899,0.7900
11.010,0.0151,0.3647,0.1519,0.7831
11.020,-0.0320,0.5445,0.1789,0.7678
11.030,-0.0205,0.5697,0.1447,0.7624
11.040,-0.0118,0.5960,0.1465,0.7366
11.050,-0.0425,0.6418,0.1279,0.7056
11.060,-0.0598,0.6608,0.0744,0.7129
11.070,-0.1339,0.6479,0.0600,0.6836
11.080,-0.1059,0.6440,0.0674,0.6451
11.090,-0.1016,0.5778,0.0520,0.6462
11.100,-0.1389,0.5789,0.0427,0.5733
11.110,-0.1619,0.5084,0.0088,0.5593
11.120,-0.2191,0.4553,-0.0044,0.5096
11.130,-0.2202,0.4200,-0.0510,0.4797
11.140,-0.2984,0.3970,-0.0387,0.4463
11.150,-0.3663,0.3564,-0.0344,0.4028
11.160,-0.3461,0.4134,-0.0915,0.3353
11.170,-0.4033,0.4454,-0.0639,0.3327
11.180,-0.4520,0.4455,-0.1285,0.3118
11.190,-0.4993,0.5207,-0.1048,0.3119
11.200,-0.5504,0.6013,-0.1577,0.2860
11.210,-0.5585,0.6708,-0.1830,0.2630
11.220,-0.6004,0.7481,-0.1566,0.2077
11.230,-0.6115,0.7548,-0.1961,0.2243
11.240,-0.6464,0.7722,-0.2163,0.1874
11.250,-0.6642,0.7768,-0.1931,0.1729
11.260,-0.6792,0.7857,-0.2379,0.1815
11.270,-0.7116,0.7301,-0.2580,0.2097
11.280,-0.7142,0.6461,-0.2459,0.2132
11.290,-0.7124,0.5870,-0.2401,0.2274
11.300,-0.6966,0.5015,-0.2589,0.2571
11.310,-0.7386,0.4164,-0.2660,0.2594
11.320,-0.7050,0.3448,-0.2723,0.3272
11.330,-0.6532,0.3162,-0.2481,0.3592
11.340,-0.6822,0.2426,-0.2504,0.3624
11.350,-0.7260,0.2001,-0.2664,0.4130
11.360,-0.6853,0.1685,-0.2461,0.4448
11.370,-0.6551,0.2169,-0.1920,0.4581
11.380,-0.6404,0.2482,-0.2455,0.5096
11.390,-0.6800,0.2580,-0.2333,0.5396
11.400,-0.6658,0.2758,-0.1923,0.6014
11.410,-0.6829,0.3489,-0.2250,0.5820
11.420,-0.6688,0.3711,-0.2067,0.6599
11.430,-0.6447,0.4368,-0.1963,0.6850
11.440,-0.7199,0.4332,-0.1735,0.7217
11.450,-0.7074,0.3363,-0.1539,0.6999
11.460,-0.7380,0.3130,-0.1295,0.7001
11.470,-0.7442,0.3114,-0.1364,0.7665
11.480,-0.7701,0.1298,-0.1200,0.7562
11.490,-0.7639,0.0997,-0.0868,0.7885
11.500,-0.7974,0.0052,-0.0507,0.7480
11.510,-0.8225,-0.0584,-0.0883,0.7554
11.520,-0.8321,-0.1647,-0.0334,0.7707
11.530,-0.8678,-0.2239,-0.0038,0.7846
11.540,-0.8452,-0.2907,0.0397,0.7140
11.550,-0.8769,-0.3760,0.0477,0.7407
11.560,-0.8860,-0.3846,0.0715,0.6665
11.570,-0.8877,-0.3298,0.0603,0.6476
11.580,-0.8424,-0.3327,0.0642,0.6485
11.590,-0.9023,-0.2963,0.1128,0.5723
11.600,-0.8715,-0.3038,0.1546,0.5476
11.610,-0.8529,-0.2346,0.1603,0.5123
11.620,-0.8069,-0.1967,0.1529,0.4721
11.630,-0.8003,-0.2160,0.1410,0.4342
11.640,-0.7862,-0.1919,0.1750,0.4043
11.650,-0.7381,-0.1984,0.1868,0.3427
11.660,-0.7204,-0.2310,0.1696,0.3070
11.670,-0.6750,-0.2773,0.1928,0.2628
11.680,-0.6582,-0.3597,0.1992,0.2158
11.690,-0.6189,-0.4153,0.2343,0.1894
11.700,-0.5807,-0.5060,0.2279,0.1610
11.710,-0.5694,-0.5653,0.2393,0.1534
11.720,-0.5520,-0.5942,0.2014,0.0958
11.730,-0.5176,-0.7035,0.2846,0.1315
11.740,-0.4789,-0.7293,0.2520,0.0714
11.750,-0.4606,-0.7636,0.2930,0.0901
11.760,-0.4243,-0.7944,0.2784,0.1058
11.770,-0.4193,-0.7322,0.2580,0.1084
11.780,-0.4386,-0.7113,0.2244,0.1120
11.790,-0.4496,-0.6535,0.2532,0.1504
11.800,-0.3852,-0.5952,0.2232,0.1374
11.810,-0.3992,-0.5236,0.2244,0.1356
11.820,-0.3762,-0.4727,0.2276,0.1869
11.830,-0.4062,-0.3978,0.1754,0.1785
11.840,-0.3580,-0.4004,0.1760,0.2293
11.850,-0.4342,-0.3536,0.1855,0.2820
11.860,-0.3723,-0.4130,0.1664,0.3257
11.870,-0.4256,-0.4038,0.1572,0.3390
11.880,-0.3893,-0.4543,0.1172,0.3774
11.890,-0.3693,-0.4811,0.0995,0.3926
11.900,-0.3189,-0.5497,0.1033,0.4090
11.910,-0.2920,-0.6242,0.0770,0.4609
11.920,-0.3140,-0.6419,0.0817,0.5285
11.930,-0.2761,-0.6720,0.0010,0.5538
11.940,-0.2617,-0.6944,0.0221,0.5569
11.950,-0.1756,-0.6242,0.0164,0.5518
11.960,-0.1819,-0.6420,-0.0013,0.5958
11.970,-0.1165,-0.6273,-0.0472,0.6170
11.980,-0.0977,-0.5251,0.0003,0.5931
11.990,-0.0154,-0.4082,-0.0571,0.5879
12.000,-0.0456,-0.3767,-0.0770,0.6057
12.010,0.0673,-0.2952,-0.1030,0.5454
12.020,0.0694,-0.1813,-0.1671,0.5905
12.030,0.1655,-0.1502,-0.1443,0.5917
12.040,0.1787,-0.0582,-0.1519,0.5087
12.050,0.2033,-0.0030,-0.1664,0.5251
12.060,0.2332,-0.0278,-0.1898,0.4602
12.070,0.2441,-0.0105,-0.1978,0.4296
12.080,0.3127,-0.0439,-0.1957,0.4225
12.090,0.3557,-0.0447,-0.1982,0.3756
12.100,0.3142,-0.0665,-0.1889,0.3311
12.110,0.4005,-0.0970,-0.1898,0.2879
12.120,0.3539,-0.1400,-0.2503,0.2526
12.130,0.3766,-0.1519,-0.2422,0.1859
12.140,0.3782,-0.1281,-0.2449,0.1355
12.150,0.3538,-0.1397,-0.2399,0.0966
12.160,0.3622,-0.0824,-0.1820,0.0969
12.170,0.3810,-0.0379,-0.2474,0.0153
12.180,0.3757,0.0352,-0.2269,0.0095
12.190,0.3934,0.1329,-0.2286,-0.0485
12.200,0.3871,0.2259,-0.2112,-0.0505
12.210,0.4410,0.3320,-0.2581,-0.0751
12.220,0.4518,0.4084,-0.1913,-0.1184
12.230,0.4497,0.4721,-0.2229,-0.1204
12.240,0.4228,0.4939,-0.1943,-0.1161
12.250,0.4657,0.5764,-0.1599,-0.1651
12.260,0.4829,0.5501,-0.1609,-0.1348
12.270,0.4912,0.5735,-0.1905,-0.1245
12.280,0.4832,0.5295,-0.1640,-0.1289
12.290,0.5643,0.4547,-0.1617,-0.1442
12.300,0.6121,0.4895,-0.1053,-0.0899
12.310,0.6040,0.4223,-0.0999,-0.1220
12.320,0.6436,0.3689,-0.0763,-0.0692
12.330,0.6713,0.3377,-0.1059,-0.0446
12.340,0.7115,0.3345,-0.0391,-0.0378
12.350,0.7244,0.3272,-0.0387,0.0053
12.360,0.7599,0.3527,-0.0401,0.0231
12.370,0.7630,0.3879,0.0156,0.0659
12.380,0.8177,0.4506,0.0412,0.0704
12.390,0.8492,0.5048,0.0469,0.1221
12.400,0.8451,0.5940,0.0464,0.1311
12.410,0.8578,0.6298,0.0798,0.1720
12.420,0.8494,0.7217,0.1021,0.2072
12.430,0.8717,0.7793,0.1052,0.2403
12.440,0.8536,0.8014,0.1238,0.2667
12.450,0.8656,0.7842,0.1178,0.2700
12.460,0.8530,0.7613,0.1813,0.3085
12.470,0.8093,0.7124,0.1394,0.3009
12.480,0.8888,0.6820,0.1759,0.3298
12.490,0.8084,0.6655,0.2125,0.3033
12.500,0.8176,0.5919,0.1761,0.2965
12.510,0.7683,0.5024,0.1891,0.2714
12.520,0.7627,0.4348,0.2491,0.2822
12.530,0.7715,0.4045,0.2508,0.1894
12.540,0.7098,0.3453,0.2070,0.2272
12.550,0.7226,0.3120,0.2306,0.2460
12.560,0.6869,0.3267,0.2393,0.1830
12.570,0.6767,0.2984,0.2373,0.1200
12.580,0.6873,0.3428,0.2329,0.1265
12.590,0.6482,0.3369,0.2488,0.0438
12.600,0.6378,0.4201,0.2569,0.0145
12.610,0.6472,0.4866,0.2053,0.0043
12.620,0.6754,0.4745,0.2254,-0.0735
12.630,0.6571,0.5061,0.2073,-0.1331
12.640,0.6899,0.5004,0.2294,-0.1468
12.650,0.7382,0.5076,0.1774,-0.2138
12.660,0.6706,0.4515,0.1609,-0.2501
12.670,0.6952,0.3732,0.1806,-0.2621
12.680,0.6802,0.3444,0.1719,-0.2815
12.690,0.7175,0.2439,0.1536,-0.3277
12.700,0.7135,0.1236,0.1610,-0.3783
12.710,0.7277,0.0699,0.1144,-0.3933
12.720,0.7297,-0.0340,0.0775,-0.4205
12.730,0.7183,-0.0614,0.1159,-0.4755
12.740,0.6767,-0.1611,0.0748,-0.4681
12.750,0.6602,-0.2152,0.1074,-0.4533
12.760,0.6355,-0.2367,0.0624,-0.4464
12.770,0.6453,-0.2066,0.0160,-0.4715
12.780,0.5791,-0.2074,0.0210,-0.4623
12.790,0.5689,-0.1582,-0.0199,-0.4215
12.800,0.5374,-0.1333,-0.0293,-0.4233
12.810,0.4750,-0.1251,-0.0416,-0.3907
12.820,0.4489,-0.0712,-0.0688,-0.4026
12.830,0.4138,-0.0575,-0.0951,-0.3741
12.840,0.3630,-0.0607,-0.1275,-0.3294
12.850,0.3375,-0.0775,-0.1254,-0.3000
12.860,0.2704,-0.1329,-0.1136,-0.3013
12.870,0.2411,-0.1831,-0.1313,-0.2718
12.880,0.2057,-0.2621,-0.1251,-0.2165
12.890,0.1730,-0.3176,-0.1539,-0.2206
12.900,0.1305,-0.4001,-0.1958,-0.1770
12.910,0.1098,-0.4849,-0.1876,-0.0794
12.920,0.0664,-0.5941,-0.2281,-0.0716
12.930,0.0597,-0.6587,-0.1963,-0.0808
12.940,0.0817,-0.6708,-0.2333,-0.0260
12.950,0.0606,-0.6720,-0.2345,-0.0316
12.960,0.0613,-0.6859,-0.2260,-0.0273
12.970,0.0008,-0.7229,-0.2545,-0.0036
12.980,-0.0104,-0.6488,-0.2885,-0.0091
12.990,-0.0072,-0.6071,-0.2274,-0.0158
13.000,0.0046,-0.5888,-0.2316,-0.0183
13.010,-0.0038,-0.4858,-0.1948,0.0204
13.020,-0.0341,-0.4773,-0.2511,-0.0256
13.030,-0.0567,-0.4414,-0.2057,0.0147
13.040,-0.0231,-0.4009,-0.2088,-0.0826
13.050,-0.0612,-0.3821,-0.2199,-0.0834
13.060,-0.0423,-0.4477,-0.1837,-0.1211
13.070,-0.0664,-0.4380,-0.1831,-0.1172
13.080,-0.1194,-0.4641,-0.1770,-0.1437
13.090,-0.1345,-0.5098,-0.1610,-0.2188
13.100,-0.1321,-0.5984,-0.1448,-0.2516
13.110,-0.1812,-0.6454,-0.1293,-0.2923
13.120,-0.2058,-0.6830,-0.1525,-0.3140
13.130,-0.2245,-0.7202,-0.1121,-0.3916
13.140,-0.2667,-0.7791,-0.1016,-0.3854
13.150,-0.3461,-0.7357,-0.1027,-0.4440
13.160,-0.4012,-0.7318,-0.0841,-0.4945
13.170,-0.4475,-0.6505,-0.0480,-0.5435
13.180,-0.4238,-0.6211,-0.0316,-0.5626
13.190,-0.4604,-0.5446,-0.0404,-0.5981
13.200,-0.5206,-0.4682,-0.0142,-0.6441
13.210,-0.5972,-0.3768,-0.0002,-0.6650
13.220,-0.5842,-0.2885,0.0135,-0.6791
13.230,-0.6299,-0.2340,0.0308,-0.7036
13.240,-0.6375,-0.2050,0.0482,-0.6986
13.250,-0.6840,-0.1650,0.1112,-0.7080
13.260,-0.6841,-0.1541,0.0713,-0.7023
13.270,-0.6727,-0.1224,0.1745,-0.7083
13.280,-0.6968,-0.1877,0.1694,-0.6744
13.290,-0.6858,-0.1826,0.1439,-0.7324
13.300,-0.6810,-0.2154,0.1651,-0.6814
13.310,-0.6869,-0.2564,0.1764,-0.6663
13.320,-0.7228,-0.2913,0.1817,-0.6408
13.330,-0.6602,-0.3134,0.1929,-0.5875
13.340,-0.6591,-0.3191,0.1998,-0.5883
13.350,-0.6609,-0.2751,0.2148,-0.5252
13.360,-0.6394,-0.2461,0.2069,-0.5089
13.370,-0.6498,-0.1736,0.2338,-0.4759
13.380,-0.6558,-0.0990,0.2308,-0.4307
13.390,-0.6556,-0.0171,0.2221,-0.3997
13.400,-0.7000,0.0787,0.2313,-0.3287
13.410,-0.7047,0.1618,0.2458,-0.3413
13.420,-0.6654,0.2495,0.2436,-0.3015
13.430,-0.7474,0.3190,0.2327,-0.2835
13.440,-0.7219,0.3852,0.2352,-0.2123
13.450,-0.7254,0.4367,0.2229,-0.2321
13.460,-0.7153,0.4486,0.2059,-0.1729
13.470,-0.7425,0.4053,0.1864,-0.1690
13.480,-0.7727,0.4141,0.2028,-0.1832
13.490,-0.7613,0.3729,0.1689,-0.2219
13.500,-0.8024,0.3405,0.2052,-0.1896
13.510,-0.7979,0.3024,0.2031,-0.1993
13.520,-0.8433,0.2892,0.1798,-0.1718
13.530,-0.8767,0.2755,0.1423,-0.2346
13.540,-0.8733,0.2395,0.1122,-0.1937
13.550,-0.8603,0.2796,0.0955,-0.2750
13.560,-0.8673,0.2863,0.1147,-0.2539
13.570,-0.8745,0.3478,0.0828,-0.2919
13.580,-0.8351,0.4183,0.0436,-0.3595
13.590,-0.8403,0.4548,0.0450,-0.3720
13.600,-0.8494,0.5309,0.0065,-0.4341
13.610,-0.8882,0.5925,0.0374,-0.4548
13.620,-0.8213,0.7029,0.0217,-0.4856
13.630,-0.7837,0.7269,-0.0608,-0.4940
13.640,-0.7698,0.7536,-0.0352,-0.5448
13.650,-0.7404,0.7684,-0.0599,-0.5827
13.660,-0.6985,0.7789,-0.0948,-0.6161
13.670,-0.6576,0.7468,-0.0794,-0.6373
13.680,-0.6294,0.7436,-0.0996,-0.6611
13.690,-0.5920,0.6453,-0.1142,-0.7126
13.700,-0.6021,0.5927,-0.1751,-0.7275
13.710,-0.5422,0.5583,-0.1217,-0.7744
13.720,-0.5352,0.5066,-0.1399,-0.7933
13.730,-0.5543,0.4217,-0.1948,-0.7892
13.740,-0.4655,0.3622,-0.1788,-0.8219
13.750,-0.4160,0.3742,-0.1847,-0.8209
13.760,-0.4921,0.3542,-0.2221,-0.7741
13.770,-0.4590,0.4072,-0.2021,-0.7926
13.780,-0.4752,0.4115,-0.1975,-0.7678
13.790,-0.4144,0.4357,-0.2196,-0.7572
13.800,-0.4212,0.5198,-0.2402,-0.7819
13.810,-0.4200,0.5427,-0.2042,-0.7029
13.820,-0.4048,0.5836,-0.2188,-0.6594
13.830,-0.4203,0.6071,-0.2069,-0.6486
13.840,-0.4067,0.6514,-0.2176,-0.6434
13.850,-0.3886,0.6167,-0.1930,-0.5766
13.860,-0.3791,0.5875,-0.2117,-0.5792
13.870,-0.4105,0.5411,-0.2090,-0.5212
13.880,-0.4115,0.4431,-0.1999,-0.4720
13.890,-0.3714,0.3655,-0.1977,-0.4391
13.900,-0.3455,0.2864,-0.1913,-0.3928
13.910,-0.3349,0.2413,-0.1963,-0.3589
13.920,-0.3298,0.1051,-0.1553,-0.3134
13.930,-0.2671,0.0395,-0.1548,-0.3159
13.940,-0.2190,-0.0565,-0.1568,-0.2831
13.950,-0.1802,-0.0465,-0.1108,-0.2127
13.960,-0.1596,-0.0948,-0.1363,-0.2298
13.970,-0.1209,-0.0557,-0.1328,-0.1864
13.980,-0.1073,-0.0560,-0.0855,-0.1913
13.990,-0.0125,-0.0004,-0.1009,-0.2023
14.000,0.0230,0.0108,-0.0454,-0.1750
14.010,0.0685,0.0556,-0.0254,-0.1894
14.020,0.0992,0.0336,-0.0289,-0.1936
14.030,0.1133,0.0613,-0.0471,-0.1657
14.040,0.1645,0.0752,0.0203,-0.1830
14.050,0.2328,0.0504,0.0311,-0.2403
14.060,0.2550,0.0205,0.0625,-0.2273
14.070,0.2870,-0.0263,0.0628,-0.2937
14.080,0.3053,-0.0758,0.0687,-0.3104
14.090,0.3348,-0.1593,0.0724,-0.3756
14.100,0.3300,-0.2796,0.1057,-0.3649
14.110,0.3486,-0.3826,0.1067,-0.3863
14.120,0.3830,-0.4826,0.1689,-0.4193
14.130,0.3925,-0.5254,0.1556,-0.4854
14.140,0.4205,-0.5436,0.1580,-0.5237
14.150,0.3880,-0.5927,0.1663,-0.5468
14.160,0.4012,-0.6339,0.2113,-0.5439
14.170,0.4142,-0.6229,0.1981,-0.5705
14.180,0.3619,-0.5799,0.2303,-0.5838
14.190,0.3881,-0.5411,0.2302,-0.6201
14.200,0.3747,-0.5422,0.2183,-0.6549
14.210,0.4149,-0.4626,0.2454,-0.6521
14.220,0.4137,-0.4117,0.2001,-0.6595
14.230,0.4080,-0.4053,0.2076,-0.7233
14.240,0.4750,-0.3209,0.2315,-0.7125
14.250,0.4801,-0.3861,0.2526,-0.7052
14.260,0.4934,-0.4006,0.2200,-0.7308
14.270,0.5075,-0.4049,0.1841,-0.7078
14.280,0.5225,-0.4792,0.2151,-0.6730
14.290,0.5649,-0.5341,0.1778,-0.6458
14.300,0.6125,-0.5931,0.1693,-0.6233
14.310,0.6286,-0.6814,0.1985,-0.5744
14.320,0.6829,-0.7149,0.1982,-0.5717
14.330,0.6741,-0.7325,0.1973,-0.5214
14.340,0.7030,-0.7563,0.1878,-0.5223
14.350,0.7655,-0.7875,0.1607,-0.4975
14.360,0.7428,-0.7554,0.1270,-0.4001
14.370,0.7714,-0.7688,0.1669,-0.3564
14.380,0.8183,-0.6816,0.1002,-0.3254
14.390,0.8639,-0.6283,0.1091,-0.3245
14.400,0.8920,-0.5264,0.0833,-0.2563
14.410,0.8957,-0.4816,0.0753,-0.2162
14.420,0.8562,-0.3805,0.0433,-0.1630
14.430,0.8706,-0.3439,0.0315,-0.1502
14.440,0.8910,-0.2975,0.0354,-0.0899
14.450,0.8955,-0.2775,0.0145,-0.0795
14.460,0.8617,-0.2723,-0.0252,-0.0384
14.470,0.8432,-0.2804,-0.0155,-0.0229
14.480,0.8109,-0.2862,-0.0265,0.0085
14.490,0.8076,-0.3436,-0.0727,0.0256
14.500,0.8149,-0.4054,-0.0642,-0.0382
14.510,0.8195,-0.3798,-0.1047,0.0110
14.520,0.7748,-0.4369,-0.1024,0.0043
14.530,0.7379,-0.4146,-0.1667,0.0014
14.540,0.6974,-0.4502,-0.1536,0.0406
14.550,0.6990,-0.4315,-0.1645,-0.0074
14.560,0.6851,-0.4039,-0.1266,-0.0283
14.570,0.6893,-0.2855,-0.1875,-0.0822
14.580,0.6592,-0.2363,-0.1971,-0.0673
14.590,0.6564,-0.2115,-0.2096,-0.1129
14.600,0.6896,-0.0576,-0.1940,-0.1345
14.610,0.6122,0.0134,-0.2071,-0.1853
14.620,0.6535,0.1116,-0.1905,-0.1717
14.630,0.6666,0.1525,-0.1798,-0.2494
14.640,0.6653,0.1992,-0.2120,-0.2627
14.650,0.6988,0.2712,-0.2112,-0.2945
14.660,0.6988,0.3104,-0.2055,-0.3311
14.670,0.6841,0.3041,-0.2332,-0.3652
14.680,0.6860,0.3158,-0.2390,-0.3736
14.690,0.7178,0.2638,-0.2170,-0.4069
14.700,0.7021,0.1586,-0.2269,-0.3995
14.710,0.6887,0.1818,-0.1531,-0.4605
14.720,0.6908,0.1456,-0.2389,-0.4686
14.730,0.6645,0.1439,-0.1958,-0.4996
14.740,0.6976,0.1499,-0.1890,-0.4392
14.750,0.6774,0.1275,-0.1660,-0.4508
14.760,0.6292,0.1592,-0.1523,-0.4000
14.770,0.6213,0.2356,-0.1695,-0.4383
14.780,0.5903,0.2904,-0.1487,-0.4164
14.790,0.5520,0.3998,-0.0809,-0.4085
14.800,0.5217,0.4655,-0.0960,-0.3823
14.810,0.4808,0.5493,-0.1255,-0.2926
14.820,0.4596,0.6051,-0.0803,-0.3248
14.830,0.4496,0.6702,-0.0702,-0.2316
14.840,0.3935,0.7116,-0.0365,-0.2342
14.850,0.3250,0.7348,-0.0229,-0.1645
14.860,0.3320,0.6985,0.0342,-0.1232
14.870,0.2543,0.7161,-0.0330,-0.0763
14.880,0.1956,0.7032,0.0127,-0.0888
14.890,0.1917,0.6524,0.0187,0.0045
14.900,0.1882,0.5975,0.0623,0.0154
14.910,0.1032,0.5231,0.0710,0.0715
14.920,0.0952,0.5292,0.0965,0.0910
14.930,0.0536,0.4026,0.0799,0.1589
14.940,0.0537,0.3959,0.1264,0.1920
14.950,0.0517,0.3990,0.1276,0.1849
14.960,-0.0051,0.3907,0.1256,0.2214
14.970,0.0182,0.4220,0.1275,0.2580
14.980,0.0201,0.4607,0.1813,0.2843
14.990,0.0142,0.5121,0.1836,0.3050
15.000,-0.0386,0.5946,0.1745,0.3130
15.010,-0.0525,0.6167,0.1591,0.3009
15.020,-0.0098,0.6782,0.2007,0.2781
15.030,0.0044,0.6750,0.1996,0.2822
15.040,-0.0439,0.6884,0.2330,0.3029
15.050,-0.0428,0.7082,0.1958,0.2719
15.060,-0.0776,0.6866,0.2253,0.2514
15.070,-0.0697,0.6504,0.2348,0.2746
15.080,-0.1277,0.5510,0.1944,0.2070
15.090,-0.1559,0.4892,0.2342,0.1987
15.100,-0.1193,0.4340,0.2353,0.1448
15.110,-0.1905,0.3504,0.2285,0.0868
15.120,-0.2452,0.2344,0.1892,0.1203
15.130,-0.2179,0.1921,0.2072,0.1013
15.140,-0.2835,0.1433,0.2006,0.0388
15.150,-0.3053,0.1110,0.1866,-0.0069
15.160,-0.3677,0.0464,0.1847,-0.0254
15.170,-0.4071,0.0577,0.1746,-0.0511
15.180,-0.4537,0.1046,0.1374,-0.1082
15.190,-0.4832,0.0805,0.1537,-0.0591
15.200,-0.5216,0.1745,0.1615,-0.0975
15.210,-0.5177,0.1725,0.1085,-0.1228
15.220,-0.6267,0.2160,0.1024,-0.1165
15.230,-0.6007,0.2458,0.1001,-0.1468
15.240,-0.6400,0.2440,0.0911,-0.1635
15.250,-0.6567,0.2070,0.0605,-0.1224
15.260,-0.6864,0.1501,0.0209,-0.1486
15.270,-0.6809,0.1067,0.0110,-0.1087
15.280,-0.6976,0.0498,0.0505,-0.0690
15.290,-0.6981,-0.0429,0.0125,-0.0591
15.300,-0.7132,-0.1655,-0.0088,-0.0541
15.310,-0.6920,-0.2210,-0.0561,-0.0390
15.320,-0.6789,-0.3196,-0.0737,-0.0010
15.330,-0.6869,-0.3990,-0.0388,0.0570
15.340,-0.7183,-0.4402,-0.0573,0.1454
15.350,-0.6913,-0.4811,-0.1304,0.1313
15.360,-0.6661,-0.4924,-0.1390,0.1780
15.370,-0.6339,-0.4680,-0.1233,0.2043
15.380,-0.6488,-0.4784,-0.1937,0.2143
15.390,-0.6377,-0.4169,-0.1574,0.2756
15.400,-0.6717,-0.4302,-0.1708,0.3685
15.410,-0.6815,-0.3803,-0.2025,0.3782
15.420,-0.6941,-0.3164,-0.1907,0.4462
15.430,-0.6720,-0.2951,-0.2205,0.4489
15.440,-0.6893,-0.2878,-0.1920,0.4837
15.450,-0.7326,-0.3501,-0.2270,0.5309
15.460,-0.7092,-0.3048,-0.2026,0.5406
15.470,-0.7425,-0.4048,-0.2088,0.5444
15.480,-0.7738,-0.4479,-0.2158,0.5925
15.490,-0.7649,-0.5151,-0.2104,0.5849
15.500,-0.8402,-0.5491,-0.2278,0.6055
15.510,-0.8342,-0.6232,-0.1882,0.6018
15.520,-0.8244,-0.7151,-0.2167,0.5722
15.530,-0.8290,-0.7286,-0.2159,0.5886
15.540,-0.8755,-0.8115,-0.2114,0.5528
15.550,-0.9099,-0.7923,-0.2147,0.5606
15.560,-0.9295,-0.7882,-0.2012,0.5297
15.570,-0.8602,-0.7641,-0.1729,0.5206
15.580,-0.8650,-0.7318,-0.1696,0.4891
15.590,-0.8533,-0.6687,-0.1438,0.4760
15.600,-0.8676,-0.5764,-0.1555,0.4222
15.610,-0.8563,-0.5446,-0.1291,0.3991
15.620,-0.8270,-0.4428,-0.1048,0.3724
15.630,-0.8367,-0.3971,-0.1480,0.3191
15.640,-0.7753,-0.3373,-0.1442,0.2733
15.650,-0.7580,-0.3326,-0.1124,0.2558
15.660,-0.6893,-0.3255,-0.0768,0.2613
15.670,-0.6806,-0.3752,-0.0633,0.1997
15.680,-0.6722,-0.3763,-0.0130,0.1571
15.690,-0.6058,-0.4451,-0.0187,0.1686
15.700,-0.5682,-0.4682,0.0038,0.1751
15.710,-0.5269,-0.4889,0.0300,0.1365
15.720,-0.4992,-0.5304,0.0174,0.1163
15.730,-0.4989,-0.5956,0.0352,0.1406
15.740,-0.5077,-0.5632,0.0685,0.1225
15.750,-0.4812,-0.5750,0.0784,0.0919
15.760,-0.4184,-0.5215,0.1091,0.0906
15.770,-0.4243,-0.4215,0.1051,0.0988
15.780,-0.4027,-0.4103,0.0940,0.1138
15.790,-0.4411,-0.3077,0.1156,0.1385
15.800,-0.4189,-0.2202,0.1625,0.2041
15.810,-0.4137,-0.1185,0.1402,0.2410
15.820,-0.3914,-0.0491,0.1346,0.2570
15.830,-0.4103,0.0067,0.1593,0.2591
15.840,-0.3881,0.0854,0.1852,0.3448
15.850,-0.4191,0.1221,0.1649,0.3567
15.860,-0.3773,0.1393,0.2079,0.3966
15.870,-0.3718,0.1106,0.2204,0.4602
15.880,-0.3491,0.1189,0.2462,0.4707
15.890,-0.3352,0.1122,0.2385,0.4741
15.900,-0.3582,0.0772,0.2065,0.5378
15.910,-0.2923,0.0236,0.2179,0.5903
15.920,-0.3033,-0.0376,0.1736,0.6132
15.930,-0.2274,-0.0206,0.2084,0.6929
15.940,-0.2396,0.0045,0.2119,0.6645
15.950,-0.2232,0.0029,0.2012,0.6929
15.960,-0.1786,0.0559,0.2198,0.7773
15.970,-0.1431,0.1121,0.1696,0.7359
15.980,-0.1214,0.2118,0.1731,0.7813
15.990,-0.0650,0.2120,0.2071,0.7389
16.000,-0.0207,0.3698,0.1650,0.7718
16.010,0.0706,0.4261,0.1687,0.7503
16.020,0.1156,0.4997,0.1448,0.7555
16.030,0.1126,0.5717,0.1473,0.7550
16.040,0.1726,0.6175,0.1425,0.7163
16.050,0.1725,0.6851,0.0592,0.7614
16.060,0.2401,0.6747,0.0947,0.6914
16.070,0.2817,0.6961,0.0979,0.6642
16.080,0.3236,0.6042,0.0541,0.6523
16.090,0.3473,0.5594,0.0641,0.6094
16.100,0.3095,0.5592,0.0191,0.5438
16.110,0.3746,0.4562,0.0041,0.5260
16.120,0.3553,0.4671,0.0085,0.4820
